username, created_at, lng, lat, text,,,,
CaruselloZach, Thu Apr 23 21:17:26 +0000 2020,-79.753237,42.789815, I need a golf simulator ⛳️ 😒 ,,,,
JoeJohnSr, Thu Apr 23 21:17:26 +0000 2020,-106.41743,31.793368, @GustavoArellano 🤦🏽‍♂️ Whataburger doesn’t need defending. 🤦🏽‍♂️ ,,,,
amannayy, Thu Apr 23 21:17:26 +0000 2020,-76.868493,39.135849, Ugh I love New York rappers 🤤 ,,,,
_AyeeAlixx, Thu Apr 23 21:17:26 +0000 2020,-112.124676,33.552863, I miss saying “where the hoes at?!” 🥺 because I know we’re all at home. I hope. 😐 ,,,,
Johnnkenne, Thu Apr 23 21:17:26 +0000 2020,-76.977119,38.965552, Shit me too ,,,,
thefawz, Thu Apr 23 21:17:26 +0000 2020,-79.27257,43.629311, Ramadan Mubarak family. #Ramadan ,,,,
aaiigght, Thu Apr 23 21:17:26 +0000 2020,-97.39353,27.79665, Free with purchase my G’s @weknowfuture #weknowfuturedesign https://t.co/AeQrrF6rY2 @ Nueces Lofts https://t.co/j7OHkQ6vN3 ,,,,
blessed_above21, Thu Apr 23 21:17:26 +0000 2020,-79.420865,38.003376, @CaptureSports @AgentCSmith ,,,,
gamesuwan, Thu Apr 23 21:17:26 +0000 2020,-96.761753,32.819858, เกิดเหตการณ์เครื่องบินตก ไฟลุกไหม้ รุ่น Pilatus PC-12/77, บริเวณ Lawson และ Scyene roads เมือง Mesquite ทางตอนเหนือ… https://t.co/uZ0Xd6giDY ,,,
CohoeDeidre, Thu Apr 23 21:17:26 +0000 2020,-119.319526,36.319486, @Travon Huh ,,,,
LaLa_Leasure, Thu Apr 23 21:17:26 +0000 2020,-73.968542,40.780709, @2KbigJENK I thouroughly belive u cannot spoil a dog. Like no matter how many toys they have and how many treats yo… https://t.co/bD3RRJLIda ,,,,
tmj_ILS_retail, Thu Apr 23 21:17:26 +0000 2020,-89.624227,39.802248, Interested in a job in #Springfield, IL? This could be a great fit. Click the link in our bio to apply: ASST STORE… https://t.co/F8df9DyBuR ,,,
paigecargioli, Thu Apr 23 21:17:26 +0000 2020,-82.442694,27.996595, Also, these burgers already exist wo a marketing ploy at Thee Burger Spot @cl_tampabay ,,,
Madmac1019, Thu Apr 23 21:17:26 +0000 2020,-117.166816,33.138742, #HappyEarthDay https://t.co/B4OFgkwi5I ,,,,
Joe_LoGuidice, Thu Apr 23 21:17:26 +0000 2020,-75.074889,39.915827, @panicsw1tched Damn you used to have to pick a color. My I'd always click my neighbor's house so it looked like space was outside my window ,,,,
Rutledgeee, Thu Apr 23 21:17:26 +0000 2020,-117.78236,33.689732, You can, and never will, be able to hate a good soul. You can only envy that your own actions are the reason why yo… https://t.co/zx1YBnwWy7 ,,
MillardFillmor1, Thu Apr 23 21:17:27 +0000 2020,-75.117998,40.004866, During this period, I am tempted to try stuff I have never tried. Never had Spam but found these reviews fascinatin… https://t.co/jDEl19GKI3 ,,,
BMeek23, Thu Apr 23 21:17:27 +0000 2020,-85.768241,37.822244, @JakeSirkus OT is a def possibility if Jones or Wilson drop. LB probably only if Queen or Murray are there. WR is a… https://t.co/K27gxkbCyX ,,,,
SykotikSanity, Thu Apr 23 21:17:27 +0000 2020,-118.222017,33.884968, You wanna come in Saturday? Hell NA I will be drinking all day 🥴 ,,,,
